Category,Symptom
Uncategorized,Immune-mediated lung disease
Uncategorized,Acoustic shock
Uncategorized,Application site acne
Uncategorized,Drug ineffective for unapproved indication
Uncategorized,Inflammatory carcinoma of the breast
Uncategorized,Chloropsia
Uncategorized,Drug dependence
Uncategorized,Myxofibrosarcoma
Uncategorized,Incision site abscess
Uncategorized,Heart transplant rejection
Uncategorized,Coronary artery stent removal
Laboratory Findings,Enzyme level abnormal
Uncategorized,Intestinal adhesion lysis
Musculoskeletal Symptoms,Skeletal muscle enzymes
Uncategorized,Extremity necrosis
Uncategorized,Subclavian artery occlusion
Uncategorized,Chronic myeloid leukaemia
Uncategorized,Neurosurgery
Neurological Symptoms,Autoimmune neuropathy
Uncategorized,Fungaemia
Uncategorized,Computed tomographic gastrography
Allergic and Immune Reactions,Autoimmune encephalopathy
Psychiatric Symptoms,Mini mental status examination abnormal
Uncategorized,Nasolaryngoscopy
Laboratory Findings,Respirovirus test positive
Uncategorized,Metastasis
Uncategorized,Abdominoplasty
Uncategorized,Mammoplasty
Musculoskeletal Symptoms,Bone decalcification
Uncategorized,Muscular dystrophy
Uncategorized,Age-related macular degeneration
Uncategorized,Breast cancer recurrent
Musculoskeletal Symptoms,Post procedural swelling
Uncategorized,Lead dislodgement
Infectious Symptoms,Cytomegalovirus infection reactivation
Uncategorized,Superior mesenteric artery syndrome
Infectious Symptoms,Device related infection
General Symptoms,Endoscopy small intestine abnormal
Dermatologic Symptoms,Staphylococcal skin infection
Uncategorized,Deafness permanent
Uncategorized,Glomerulonephritis membranous
Uncategorized,Phospholipase A2 activity increased
Uncategorized,Epidural haemorrhage
Uncategorized,Von Willebrand's factor activity normal
Uncategorized,Von Willebrand's factor antigen normal
Uncategorized,Hodgkin's disease
Uncategorized,Heart valve stenosis
Uncategorized,Benign enlargement of the subarachnoid spaces
Genitourinary Symptoms,Male genital examination abnormal
Uncategorized,Pingueculitis
Uncategorized,Biliary dyskinesia
Uncategorized,Murphy's sign positive
Uncategorized,Infectious pleural effusion
Respiratory Symptoms,Pneumonia necrotising
Uncategorized,Spherocytic anaemia
Laboratory Findings,Blood follicle stimulating hormone decreased
Uncategorized,Non-consummation
Cardiovascular Findings,Dilatation ventricular
Cardiovascular Findings,ECG P wave inverted
Uncategorized,Obstructive nephropathy
Uncategorized,Infective myositis
Uncategorized,Eosinophilic bronchitis
Respiratory Symptoms,Neonatal respiratory distress syndrome
Laboratory Findings,Acinetobacter test positive
Laboratory Findings,West Nile virus test
Uncategorized,Idiopathic guttate hypomelanosis
Uncategorized,Arteriovenous fistula thrombosis
Laboratory Findings,Platelet factor 4 decreased
Uncategorized,Orthopaedic examination
Uncategorized,Cellulitis staphylococcal
Laboratory Findings,Rinne tuning fork test
Laboratory Findings,Blood aldosterone normal
Uncategorized,Biopsy vagina
Uncategorized,Puncture site haemorrhage
Uncategorized,Flea infestation
Cardiovascular Findings,Arrhythmia neonatal
Uncategorized,Obsessive-compulsive personality disorder
Uncategorized,Gamma-glutamyltransferase normal
Uncategorized,Premedication
Neurological Symptoms,Diabetic neuropathy
Uncategorized,Immobilisation syndrome
Uncategorized,Brain stem auditory evoked response
Uncategorized,Forceps delivery
Uncategorized,Salpingectomy
Laboratory Findings,Blood group A
Laboratory Findings,Blood group AB
Laboratory Findings,Blood group O
Uncategorized,Unemployment
Laboratory Findings,Human papilloma virus test negative
Uncategorized,Coagulation factor X level normal
Laboratory Findings,Creatinine renal clearance
Uncategorized,Parietal cell antibody normal
Cardiovascular Findings,Right ventricular hypertension
Uncategorized,Temporary mechanical circulatory support
Uncategorized,Complement factor C3 increased
Uncategorized,Dehydroepiandrosterone decreased
Uncategorized,Breast neoplasm
Uncategorized,Erythrodermic psoriasis
Infectious Symptoms,Herpes simplex gastritis
Uncategorized,Aortic embolus
Musculoskeletal Symptoms,Limb deformity
Laboratory Findings,Parasite urine test negative
Cardiovascular Findings,Intracranial hypotension
Infectious Symptoms,Viral myelitis
Uncategorized,Application site induration
Uncategorized,Neurodermatitis
Infectious Symptoms,Herpes zoster meningoencephalitis
Uncategorized,Elliptocytosis hereditary
Procedural and Device-Related Issues,Device failure
Uncategorized,Very low density lipoprotein increased
Uncategorized,Alveolar osteitis
General Symptoms,Barium enema abnormal
Uncategorized,Endoscopy gastrointestinal
Uncategorized,Vitamin B1 deficiency
Uncategorized,Cervical discharge
Uncategorized,Peripheral circulatory failure
Uncategorized,Oropharyngeal candidiasis
Uncategorized,Vascular compression
Cardiovascular Findings,Radial pulse decreased
Uncategorized,Lung transplant rejection
Laboratory Findings,Anti-HLA antibody test
Uncategorized,Susac's syndrome
Uncategorized,Injury corneal
Laboratory Findings,Blood viscosity decreased
Uncategorized,Ligamentum flavum hypertrophy
Uncategorized,Prostatic disorder
General Symptoms,Cytogenetic analysis abnormal
Infectious Symptoms,Cystitis bacterial
Infectious Symptoms,HIV infection
Uncategorized,Vascular access site bruising
Uncategorized,Colonic abscess
Uncategorized,Prone position
Laboratory Findings,Candida test positive
Uncategorized,Retroperitoneal haematoma
Uncategorized,Pancreatic injury
Uncategorized,Twin pregnancy
Uncategorized,Writer's cramp
General Symptoms,Amniocentesis abnormal
Uncategorized,Neuropathic muscular atrophy
Laboratory Findings,Mycobacterium test positive
Uncategorized,Suture removal
Uncategorized,Cervicitis
Uncategorized,Intrapartum haemorrhage
Procedural and Device-Related Issues,Meniscus operation
Uncategorized,Antithrombin III increased
Uncategorized,Poor milk ejection reflex
Uncategorized,Biopsy uterus normal
Uncategorized,Threatened labour
General Symptoms,Electrocochleogram abnormal
Respiratory Symptoms,Septic pulmonary embolism
Uncategorized,Anhidrosis
Uncategorized,Cyst aspiration
Procedural and Device-Related Issues,Colon operation
Uncategorized,Gastrointestinal arteriovenous malformation
Uncategorized,Vacuum extractor delivery
Uncategorized,Collagen-vascular disease
Laboratory Findings,Bordetella test
Laboratory Findings,Congenital cystic kidney disease
Uncategorized,Long QT syndrome
Uncategorized,Lung cyst
Procedural and Device-Related Issues,Lung operation
Uncategorized,Vitamin A
Laboratory Findings,Blood testosterone free increased
Procedural and Device-Related Issues,Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
Uncategorized,Cerebral amyloid angiopathy
Uncategorized,Haemorrhagic cerebral infarction
Uncategorized,Change in sustained attention
Psychiatric Symptoms,Adjustment disorder with anxiety
Cardiovascular Findings,Cardiac electrophysiologic study abnormal
Cardiovascular Findings,Cardiac output decreased
General Symptoms,Serology abnormal
Uncategorized,Psychomotor disadaptation syndrome
Uncategorized,Anti-thrombin antibody
Uncategorized,Extranodal marginal zone B-cell lymphoma (MALT type)
Uncategorized,Hyphaema
Cardiovascular Findings,Electrocardiogram U wave inversion
Uncategorized,Exposure to vaccinated person
Uncategorized,Antiribosomal P antibody positive
Cardiovascular Findings,Foetal arrhythmia
Uncategorized,Adnexal torsion
Laboratory Findings,Blood iron abnormal
Uncategorized,Glomerulonephritis rapidly progressive
Genitourinary Symptoms,Renal necrosis
Uncategorized,Breast prosthesis removal
Procedural and Device-Related Issues,Device extrusion
Uncategorized,Faecal disimpaction
Uncategorized,Steroid diabetes
Uncategorized,Carbohydrate antigen 15-3
Uncategorized,Cell marker
Laboratory Findings,Urine calcium
Musculoskeletal Symptoms,Degenerative bone disease
Uncategorized,Drug abuser
Procedural and Device-Related Issues,Lack of vaccination site rotation
Laboratory Findings,SARS-CoV-1 test negative
Cardiovascular Findings,Ventricular cisternostomy
Uncategorized,Lymph node abscess
Uncategorized,Fluorescence angiogram normal
Uncategorized,Ankle brachial index normal
Cardiovascular Findings,Electrocardiogram QRS complex shortened
Uncategorized,Coronary ostial stenosis
Uncategorized,Epidural analgesia
Procedural and Device-Related Issues,Diffusion-weighted brain MRI abnormal
Laboratory Findings,Urine delta aminolevulinate normal
Procedural and Device-Related Issues,Ectopic pregnancy with contraceptive device
Genitourinary Symptoms,Bladder neoplasm
Uncategorized,Iliac vein stenosis
Uncategorized,Peripheral vein stenosis
Uncategorized,Vena cava filter removal
Uncategorized,Eyelid haematoma
Cardiovascular Findings,Pulmonary venous hypertension
Genitourinary Symptoms,Magnetic resonance imaging renal
Uncategorized,Croup infectious
Uncategorized,Epileptic encephalopathy
Uncategorized,Exposure to allergen
Neurological Symptoms,Urethral spasm
Genitourinary Symptoms,Oedema genital
Uncategorized,N-telopeptide
Uncategorized,Diabetic gastroparesis
Uncategorized,CSF oligoclonal band present
Uncategorized,Encephalitis brain stem
Uncategorized,Angiogram peripheral
Psychiatric Symptoms,Rapid eye movement sleep behaviour disorder
Uncategorized,Pharyngeal haematoma
Uncategorized,Wall motion score index normal
Uncategorized,Echoencephalogram
Uncategorized,Parotidectomy
Uncategorized,Pleomorphic adenoma
Cardiovascular Findings,Transcranial electrical motor evoked potential monitoring
Uncategorized,Anisomastia
Uncategorized,5-hydroxyindolacetic acid
Laboratory Findings,Walking distance test normal
Uncategorized,Cholelithotomy
Uncategorized,Synovial rupture
Neurological Symptoms,Acute motor axonal neuropathy
Uncategorized,Fluid intake restriction
Laboratory Findings,Red blood cell enzymes abnormal
Uncategorized,Amphetamines negative
Uncategorized,Barbiturates negative
Uncategorized,Psychogenic movement disorder
Uncategorized,Specific gravity body fluid normal
Uncategorized,CHA2DS2-VASc-score
Uncategorized,Alcoholism
Uncategorized,Endometritis
Uncategorized,Labour induction
Procedural and Device-Related Issues,Retained placenta operation
Uncategorized,Vitamin D increased
Uncategorized,Perineal haematoma
Psychiatric Symptoms,Mental disorder due to a general medical condition
Cardiovascular Findings,Cardiac septal defect
Uncategorized,Drug exposure before pregnancy
Uncategorized,Hyperphosphataemia
Cardiovascular Findings,Heart rate variability decreased
Uncategorized,Heart sounds
Uncategorized,Cervical polyp
Uncategorized,Patient dissatisfaction with treatment
Uncategorized,Rectal fissure
Procedural and Device-Related Issues,Device infusion issue
Uncategorized,Nail ridging
Laboratory Findings,Pregnancy test false positive
Uncategorized,Cerebrospinal fluid retention
Uncategorized,Biopsy colon normal
Uncategorized,Perforated ulcer
Uncategorized,Foetal chromosome abnormality
Laboratory Findings,Liver scan abnormal
Laboratory Findings,Antimicrobial susceptibility test sensitive
Infectious Symptoms,Hepatitis infectious mononucleosis
Laboratory Findings,Biopsy liver normal
Uncategorized,Shared psychotic disorder
Uncategorized,Cystitis haemorrhagic
Neurological Symptoms,CHA2DS2-VASc annual stroke risk high
Uncategorized,Hyperchromic anaemia
Uncategorized,Mastectomy
Cardiovascular Findings,Oedema due to cardiac disease
Procedural and Device-Related Issues,Vaccination site atrophy
Uncategorized,Splenic vein occlusion
Uncategorized,Gingival erosion
Uncategorized,Coronary artery aneurysm
Uncategorized,Hyperechogenic pancreas
Cardiovascular Findings,Left atrial appendage closure implant
Uncategorized,Procedural haemorrhage
Uncategorized,Diffuse idiopathic skeletal hyperostosis
Procedural and Device-Related Issues,Metabolic surgery
Gastrointestinal Symptoms,Abdominal wall cyst
Uncategorized,Product intolerance
Laboratory Findings,Blood parathyroid hormone decreased
Uncategorized,Fibroblast growth factor 23 increased
Uncategorized,Shock hypoglycaemic
Uncategorized,Diffuse vasculitis
Uncategorized,Gallbladder adenocarcinoma
Laboratory Findings,Blood methanol
Uncategorized,Brain compression
General Symptoms,Angiogram peripheral abnormal
Uncategorized,Gastrointestinal decompression
Neurological Symptoms,Obturator neuropathy
Uncategorized,Placenta praevia haemorrhage
Uncategorized,Gynaecological examination normal
Cardiovascular Findings,Electrocardiogram Q waves
Infectious Symptoms,HCoV-OC43 infection
Uncategorized,Peripheral T-cell lymphoma unspecified
General Symptoms,Biopsy chorionic villous abnormal
Uncategorized,Wrong dosage formulation
Cardiovascular Findings,Cardiac vein dissection
Uncategorized,Arteritis
ENT Symptoms,Inner ear operation
Uncategorized,Adenocarcinoma pancreas
Dermatologic Symptoms,Viral skin infection
Uncategorized,Alveolitis
Laboratory Findings,Flavivirus test
Uncategorized,Compulsive cheek biting
General Symptoms,Weight gain poor
Laboratory Findings,Blood product transfusion dependent
Uncategorized,Eosinophilic cellulitis
Laboratory Findings,Hydrogen breath test normal
Uncategorized,Papulopustular rosacea
Uncategorized,Amino acid level normal
Cardiovascular Findings,Right ventricular diastolic collapse
Uncategorized,Drug resistance
Uncategorized,Physical product label issue
Uncategorized,Mineral deficiency
Uncategorized,Infected dermal cyst
Dermatologic Symptoms,Idiopathic urticaria
Laboratory Findings,Temperature perception test increased
Uncategorized,Hypersomnia-bulimia syndrome
Uncategorized,Inhibitory drug interaction
Musculoskeletal Symptoms,Joint adhesion
Uncategorized,Diabetes mellitus management
Uncategorized,Gene sequencing
Uncategorized,Hydrothorax
Uncategorized,Coprolalia
Uncategorized,Thrombosis mesenteric vessel
Uncategorized,Wolff-Parkinson-White syndrome
Uncategorized,Eyelid exfoliation
Uncategorized,Coronary artery dilatation
Uncategorized,Hepatic lymphocytic infiltration
Infectious Symptoms,Hepatitis B DNA assay negative
Laboratory Findings,Liver iron concentration increased
Cardiovascular Findings,Electrocardiogram P wave abnormal
Infectious Symptoms,Coxsackie viral infection
Uncategorized,Tri-iodothyronine free increased
